

1539742980.848909156  Node Startup
1539742982.990164336 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.790182666 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.890185366 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.990182492 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.090184036 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.190184690 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.290182323 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.390176883 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.490179726 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.590209758 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.690187598 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.790186325 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.890187761 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742985.990184404 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.090187452 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.190212741 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.290186306 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.390185499 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.490181827 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.590180967 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.690186202 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742986.790334995 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:70(Init) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Got first Laser Scan .... Configuring node
1539742986.858914619 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 50.346001
1539742986.874956264 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000000 0.000000 0.000000]
1539742986.875124772 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000000 0.000000 0.000000]
1539742986.938940893 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 48.237000
1539742986.939468192 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000000 0.000000 0.000000]
1539742986.939868549 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000000 0.000000 0.000000]
1539742987.146378225 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 155.692993
1539742987.146907814 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [-0.000090 -0.000105 0.000488]
1539742987.147083875 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [-0.000090 -0.000105 0.000488]
1539742987.156114131 INFO [/tmp/binarydeb/ros-kinetic-gmapping-1.3.10/src/slam_gmapping.cpp:447(initMapper) [topics: /rosout, /tf, /slam_gmapping/entropy, /map, /map_metadata] Laser is mounted upwards.
1539742987.182285322 INFO [/tmp/binarydeb/ros-kinetic-gmapping-1.3.10/src/slam_gmapping.cpp:532(initMapper) [topics: /rosout, /tf, /slam_gmapping/entropy, /map, /map_metadata] Initialization complete
1539742987.301975682 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 154.102997
1539742987.303077521 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [-0.000167 -0.000226 0.001524]
1539742987.303397035 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [-0.000167 -0.000226 0.001524]
1539742987.456769978 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 152.475998
1539742987.457621842 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [-0.000127 -0.000235 0.001524]
1539742987.457871557 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [-0.000127 -0.000235 0.001524]
1539742987.624865310 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 165.916000
1539742987.625463970 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [-0.000139 -0.000203 0.001524]
1539742987.625701964 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [-0.000139 -0.000203 0.001524]
1539742987.777550939 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 151.054993
1539742987.778075476 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000359 0.000242 0.000834]
1539742987.778272841 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000359 0.000242 0.000834]
1539742987.928717913 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 149.604996
1539742987.929237553 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000578 0.000452 0.000488]
1539742987.929570714 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000578 0.000452 0.000488]
1539742988.079043218 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 148.412994
1539742988.079568795 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000976 -0.000194 0.000488]
1539742988.079767879 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000976 -0.000194 0.000488]
1539742988.236037759 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 155.354996
1539742988.236790287 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.001221 0.000163 0.002531]
1539742988.236989683 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.001221 0.000163 0.002531]
1539742988.379452054 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 141.608994
1539742988.380017062 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.001069 0.000071 0.003377]
1539742988.380226355 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.001069 0.000071 0.003377]
1539742988.522340357 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 141.274994
1539742988.522864162 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.001298 0.000730 0.003975]
1539742988.523054078 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.001298 0.000730 0.003975]
1539742988.667624851 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 143.634003
1539742988.668148813 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.001161 0.000652 0.003129]
1539742988.668341802 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.001161 0.000652 0.003129]
1539742988.817169225 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 147.990005
1539742988.817902532 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000589 0.000334 0.003129]
1539742988.818073019 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000589 0.000334 0.003129]
1539742988.967334342 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 148.417999
1539742988.967841375 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000590 0.000335 0.002438]
1539742988.968024103 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000590 0.000335 0.002438]
1539742989.123510070 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 154.630997
1539742989.124040073 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000831 0.000538 0.002784]
1539742989.124213632 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000831 0.000538 0.002784]
1539742989.281078490 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 155.917999
1539742989.281596251 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000787 0.000545 0.003929]
1539742989.281775280 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000787 0.000545 0.003929]
1539742989.434138943 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 151.354004
1539742989.434660872 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000859 0.000682 0.004527]
1539742989.434831775 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.000859 0.000682 0.004527]
1539742989.587896501 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 152.388000
1539742989.588650328 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.001031 0.000937 0.002766]
1539742989.588829253 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.001031 0.000937 0.002766]
1539742989.738778865 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 149.251007
1539742989.739293605 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.001046 0.000952 0.002766]
1539742989.739466696 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:943(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] BASEodom = [0.001046 0.000952 0.002766]
1539742989.890282178 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:244(odometryCalculation) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Time odometry (ms): 149.878006
1539742989.890796971 INFO [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:912(PoseUpdate) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] LASERodom = [0.000772 0.000737 0.004493]
